reviews_287454_0003_0 The fries are of good quality , the staff is friendly . ||| p.Characteristic p.Identity B-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O O 
reviews_327766_0003_0 I would recommend this hotel to anyone . ||| p.Recipient p.Goal O B-GOV I-GOV O O B-PREP B-OBJ O 
reviews_288894_0003_0 Please update this listing in you database . ||| p.Locus p.Locus O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_309168_0002_0 this is a great park to have kids birthday parties at !! ||| p.Locus p.Locus O O O O O B-GOV I-GOV O O O B-PREP O 
reviews_045753_0001_0 Compare to last decade this University is gaining more prestige in International level ||| p.ComparisonRef p.Goal B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O 
reviews_217485_0002_0 The chicken cordon - blu was tasty and came in a huge portion size for the money . ||| p.Manner p.Locus O O O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ O O O O 
reviews_162253_0002_0 I used my card to purchase a meal on the menu and the total on my receipt was $ 8.95 but when I went on line to check my transaction it show $ 10.74 . ||| p.Locus p.Locus O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O O O O O O 
reviews_059088_0003_0 If you mention the name Amir you will receive % 10 off at time of purchase ||| p.Time p.Time O O O O O O O B-GOV I-GOV O O O B-PREP B-OBJ O O 
reviews_071017_0003_0 Lots of room for big rig parking . ||| p.QuantityItem p.QuantityItem B-GOV B-PREP B-OBJ O O O O O 
reviews_202709_0003_1 I recommend you to everyone in Calgary , as she is a professional and the cost for her was low . ||| p.Locus p.Locus O O O O B-GOV B-PREP B-OBJ O O O O O O O O O O O O O O 
reviews_266676_0002_2 Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks ||| p.Locus p.Locus O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O O 
reviews_330275_0001_0 Some of the nicest people and very good work standards ||| p.Whole p.Whole B-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O 
reviews_188461_0002_3 The statement about " best hamburguers in town " can be even amplifiaed to " best hamburguers in world " Totally worth , juicy , big , fresh , and excellent customer service ! ||| p.Locus p.Locus O O O O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ O O O O O O O O O O O O O O O 
reviews_076440_0001_0 really amazing the new and exciting plays done at this theatre ! ||| p.Locus p.Locus O O O O O O O B-GOV B-PREP B-OBJ I-OBJ O 
reviews_229142_0003_0 They came through on all of their promises and we had a very successful day . ||| p.Topic p.Topic O B-GOV I-GOV B-PREP B-OBJ O O O O O O O O O O O 
reviews_279070_0004_0 It is a cloth napkin kind of place , but I thought well worth it . ||| p.Species p.Species O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O O O O 
reviews_124552_0001_0 They have good sushi for a good price . ||| p.Cost p.Cost O O B-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_307250_0001_1 $ 9.62 excluding tip with water to drink for the buffet . ||| p.Theme p.Purpose O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_279437_0001_0 Excellent service , close to the morse red line stop . ||| p.Locus p.Goal O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ I-OBJ I-OBJ O 
reviews_059088_0003_1 If you mention the name Amir you will receive % 10 off at time of purchase ||| p.Gestalt p.Gestalt O O O O O O O O O O O O O B-GOV B-PREP B-OBJ 
reviews_266676_0002_3 Thanks For The Prompt Service And Great Job You And Your Boys Have Done On Our New Solar System , The Panels On The Roof Look Great And The Power We Are Putting Back In To The Grid Is Great , Great Job Thanks ||| p.Goal p.Goal O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O 
reviews_202709_0003_0 I recommend you to everyone in Calgary , as she is a professional and the cost for her was low . ||| p.Recipient p.Goal O B-GOV O B-PREP B-OBJ O O O O O O O O O O O O O O O O 
reviews_071017_0003_1 Lots of room for big rig parking . ||| p.Purpose p.Purpose O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
reviews_217485_0002_1 The chicken cordon - blu was tasty and came in a huge portion size for the money . ||| p.ComparisonRef p.ComparisonRef O O O O O O O O O O B-GOV I-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ O 
reviews_162253_0002_1 I used my card to purchase a meal on the menu and the total on my receipt was $ 8.95 but when I went on line to check my transaction it show $ 10.74 . ||| p.Locus p.Locus O O O O O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O O O O O O 
reviews_045753_0001_1 Compare to last decade this University is gaining more prestige in International level ||| ?? null O O O O O O O O B-GOV I-GOV B-PREP B-OBJ I-OBJ 
reviews_023926_0002_0 Mercedes and Dan are very thorough and on top of everything ! ||| p.Characteristic p.Locus B-GOV I-GOV I-GOV O O O O B-PREP I-PREP I-PREP B-OBJ O 
reviews_307250_0001_0 $ 9.62 excluding tip with water to drink for the buffet . ||| p.Characteristic p.Characteristic B-GOV I-GOV O O B-PREP B-OBJ O O O O O O 
reviews_253807_0001_0 Cheapest drinks in Keene ! ||| p.Locus p.Locus B-GOV I-GOV B-PREP B-OBJ O 
reviews_096340_0003_0 We have Hobby Lobby , Just for Fun Fabrics , Walmart , and Interior Mall just inside Barling . ||| p.Locus p.Locus O O B-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV I-GOV O B-PREP B-OBJ O 
reviews_059386_0003_2 Wait staff is always ready to help if you ca n't decide ( which happens every time for me d / t the huge menu of rolls ) and always courteous ! ||| p.QuantityItem p.Stuff O O O O O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ O O O O O 
reviews_229142_0003_1 They came through on all of their promises and we had a very successful day . ||| p.QuantityItem p.Whole O O O O B-GOV B-PREP B-OBJ I-OBJ O O O O O O O O 
reviews_198455_0002_0 I had a dead battery last week and called this company since they were the closest they had very quick service for a Monday morning , thanks again guys . ||| p.ComparisonRef p.ComparisonRef O O O O O O O O O O O O O O O O O O B-GOV I-GOV I-GOV B-PREP B-OBJ I-OBJ I-OBJ O O O O O 
reviews_158740_0003_0 I had so many strawberries right on the field ... strongly recomend ... do nt forget to try their great ice cream ||| p.Locus p.Locus O O B-GOV I-GOV I-GOV O B-PREP B-OBJ I-OBJ O O O O O O O O O O O O O 
reviews_335815_0002_0 There are a couple decent people working there , but the rest are VERY dishonest , as well as rude , I have yet to hear the truth come out of their mouths . ||| p.Source p.Source O O O O O O O O O O O O O O O O O O O O O O O O O O O O B-GOV B-PREP I-PREP B-OBJ I-OBJ O 
reviews_188461_0002_2 The statement about " best hamburguers in town " can be even amplifiaed to " best hamburguers in world " Totally worth , juicy , big , fresh , and excellent customer service ! ||| p.Goal p.Goal O O O O O O O O O O O O B-GOV B-PREP O B-OBJ I-OBJ O O O O O O O O O O O O O O O O O 
reviews_137883_0002_0 Food is awful and the place caters to the yuppy crowd . ||| p.Beneficiary p.Goal O O O O O O B-GOV B-PREP B-OBJ I-OBJ I-OBJ O 
